country,co2_per_capita,gdp,population
Afghanistan,0.26,53303472128.0,40578846.0
Albania,1.83,36171005952.0,2827615.0
Algeria,4.058,595820019712.0,45477391.0
Angola,0.568,158346248192.0,35635028.0
Argentina,4.494,854914301952.0,45407904.0
Armenia,2.487,39721734144.0,2880883.0
Australia,14.67,1344251494400.0,26200987.0
Austria,6.783,398815395840.0,9064679.0
Azerbaijan,3.923,175370551296.0,10295307.0
Bahrain,23.249,58769760256.0,1533459.0
Bangladesh,0.672,858143916032.0,169384890.0
Barbados,4.05,3408005888.0,282324.0
Belarus,6.474,175773810688.0,9173241.0
Belgium,7.645,489678405632.0,11641813.0
Benin,0.421,33290362880.0,13759507.0
Bolivia,1.853,78165311488.0,12077155.0
Bosnia and Herzegovina,6.541,47069138944.0,3204805.0
Botswana,2.703,39293968384.0,2439895.0
Brazil,2.301,3187413090304.0,210306411.0
Bulgaria,6.881,138390159360.0,6825863.0
Burkina Faso,0.283,37320441856.0,22509037.0
Burundi,0.053,9177076736.0,13321101.0
Cambodia,1.14,65136594944.0,17201717.0
Cameroon,0.364,82727796736.0,27632771.0
Canada,14.183,1761295597568.0,38821260.0
Cape Verde,1.068,4251154688.0,519750.0
Central African Republic,0.053,3752056576.0,5098038.0
Chad,0.163,24118011904.0,18455319.0
Chile,4.221,448338100224.0,19553032.0
China,7.964,26966017179648.0,1425179562.0
Colombia,1.9,742716997632.0,51737944.0
Comoros,0.541,1682077056.0,834192.0
Congo,1.344,23679010816.0,6035107.0
Costa Rica,1.544,80345899008.0,5081765.0
Cote d'Ivoire,0.449,121472000000.0,30395003.0
Croatia,4.507,102284648448.0,3907031.0
Cuba,1.979,84154974208.0,11059821.0
Cyprus,5.406,34255009792.0,1331376.0
Czechia,8.911,342966829056.0,10673216.0
Democratic Republic of Congo,0.045,91314987008.0,102396974.0
Denmark,4.817,299429003264.0,5902898.0
Djibouti,0.435,3395681536.0,1137100.0
Dominica,2.338,675097984.0,66850.0
Dominican Republic,2.71,191182372864.0,11230734.0
Ecuador,2.273,175028879360.0,17823900.0
Egypt,2.408,1460427423744.0,112618251.0
El Salvador,1.242,59270934528.0,6280316.0
Equatorial Guinea,3.785,20191379456.0,1803550.0
Estonia,8.708,39999856640.0,1350092.0
Eswatini,0.886,9594910720.0,1218921.0
Ethiopia,0.121,269977223168.0,125384285.0
Finland,6.53,226154840064.0,5569299.0
France,4.428,2671568748544.0,66277412.0
Gabon,2.4,36035293184.0,2430752.0
Gambia,0.28,4656793600.0,2636473.0
Georgia,3.038,70528606208.0,3794783.0
Germany,7.986,3909612732416.0,84086228.0
Ghana,0.612,145431871488.0,33149151.0
Greece,5.578,263892680704.0,10412481.0
Guatemala,1.071,146224644096.0,17847877.0
Guinea,0.298,23678257152.0,14055137.0
Guinea-Bissau,0.147,3259313920.0,2105537.0
Haiti,0.294,17550917632.0,11503604.0
Honduras,1.002,49738256384.0,10463881.0
Hong Kong,4.223,356690493440.0,7465914.0
Hungary,4.63,285385228288.0,9684306.0
Iceland,9.499,16019539968.0,380368.0
India,1.986,10476248367104.0,1425423212.0
Indonesia,2.643,3500093472768.0,278830529.0
Iran,8.944,1572209033216.0,89524247.0
Iraq,3.886,527639314432.0,44070556.0
Ireland,7.184,308390920192.0,5110013.0
Israel,6.695,336722558976.0,9103144.0
Italy,5.714,2136009342976.0,59619106.0
Jamaica,2.514,20019224576.0,2839151.0
Japan,8.262,4774494732288.0,124997586.0
Jordan,1.799,99281829888.0,11256268.0
Kazakhstan,12.699,503634067456.0,20034612.0
Kenya,0.394,190362157056.0,54252456.0
Kuwait,21.235,218961231872.0,4589514.0
Kyrgyzstan,1.442,31703001088.0,6955792.0
Laos,3.1,54953902080.0,7559007.0
Latvia,3.519,51248480256.0,1881058.0
Lebanon,3.294,48741707776.0,5744494.0
Lesotho,1.676,4761723392.0,2286112.0
Liberia,0.147,4231560960.0,5373296.0
Libya,7.966,91444477952.0,7223804.0
Lithuania,4.564,84814258176.0,2816922.0
Luxembourg,11.138,36128358400.0,653316.0
Madagascar,0.142,38602186752.0,30437263.0
Malawi,0.085,26465351680.0,20568731.0
Malaysia,8.227,877584187392.0,34695494.0
Mali,0.303,30551085056.0,23072639.0
Malta,3.358,18295134208.0,528194.0
Mauritania,0.939,15674545152.0,4875645.0
Mauritius,3.078,26988574720.0,1276134.0
Mexico,3.618,2033437638656.0,128613113.0
Moldova,1.905,23827554304.0,3039987.0
Mongolia,12.822,44809465856.0,3386015.0
Montenegro,3.889,12774400000.0,614650.0
Morocco,1.862,311654973440.0,37329069.0
Mozambique,0.256,31441725440.0,32656240.0
Myanmar,0.549,291025092608.0,53756790.0
Namibia,1.414,21858732032.0,2889668.0
Nepal,0.541,95965913088.0,29715434.0
Netherlands,7.107,879609118720.0,17904422.0
New Zealand,6.16,200602763264.0,5131733.0
Nicaragua,0.787,32764782592.0,6730661.0
Niger,0.107,24776755200.0,25311977.0
Nigeria,0.59,1134448607232.0,223150906.0
North Korea,2.134,40488849408.0,26328842.0
North Macedonia,3.873,28770254848.0,1840236.0
Norway,7.478,482328444928.0,5456795.0
Oman,16.195,177355014144.0,4730227.0
Pakistan,0.918,1318834929664.0,243700667.0
Palestine,0.663,24076503040.0,5305274.0
Panama,2.58,94762123264.0,4400772.0
Paraguay,1.199,65127632896.0,6760461.0
Peru,1.637,341677637632.0,33475435.0
Philippines,1.271,1014811000832.0,113964342.0
Poland,8.207,1231021277184.0,38385734.0
Portugal,3.906,295712915456.0,10417075.0
Qatar,36.699,381778100224.0,2892465.0
Romania,3.808,504741658624.0,19166776.0
Russia,12.379,3731440795648.0,145579890.0
Rwanda,0.113,28466253824.0,13651026.0
Saint Lucia,2.742,1749086208.0,178794.0
Sao Tome and Principe,0.706,825238400.0,226313.0
Saudi Arabia,22.481,1823886278656.0,32175352.0
Senegal,0.695,51913994240.0,17651099.0
Serbia,6.408,116834639872.0,6791218.0
Seychelles,4.411,3053368064.0,125532.0
Sierra Leone,0.154,11681270784.0,8276808.0
Singapore,8.473,461801127936.0,5649886.0
Slovakia,5.765,150360424448.0,5473194.0
Slovenia,6.005,69385347072.0,2115230.0
South Africa,6.498,723559317504.0,62378419.0
South Korea,11.627,2137558614016.0,51782514.0
Spain,4.906,1625139970048.0,47828386.0
Sri Lanka,0.872,254748606464.0,22834964.0
Sweden,3.573,494214545408.0,10487333.0
Switzerland,3.733,559384952832.0,8792180.0
Syria,1.127,52353138688.0,22462170.0
Taiwan,11.685,1247874383872.0,23420107.0
Tajikistan,0.881,50544009216.0,10182229.0
Tanzania,0.274,198220414976.0,64711821.0
Thailand,3.8,1124143726592.0,71735320.0
Togo,0.295,14265659392.0,9089742.0
Trinidad and Tobago,24.27,37513383936.0,1495922.0
Tunisia,2.636,129457963008.0,12119336.0
Turkey,5.023,2385996414976.0,87058470.0
Turkmenistan,8.873,97502945280.0,7230198.0
Uganda,0.119,101995421696.0,47312718.0
Ukraine,3.438,309166669824.0,41048767.0
United Arab Emirates,22.064,779701518336.0,10242085.0
United Kingdom,4.603,2615230595072.0,68179315.0
United States,14.871,19493170446336.0,341534041.0
Uruguay,2.306,69066227712.0,3390913.0
Uzbekistan,3.579,393572450304.0,34938955.0
Venezuela,3.102,149682061312.0,28213016.0
Vietnam,2.986,833803845632.0,99680656.0
Yemen,0.269,60852994048.0,38222880.0
Zambia,0.373,68469604352.0,20152934.0
Zimbabwe,0.649,25901586432.0,16069061.0
